species,cpi,house sales,gas price,gold price,usd to pound,usd to euro,unemployment,s and p 500,volatility,cpi pdiff,house sales pdiff,gas price pdiff,gold price pdiff,usd to pound pdiff,usd to euro pdiff,unemployment pdiff,s and p 500 pdiff,volatility pdiff
neutral,204.6508,830,2.252,664.75,0.512974,0.769415,4.46,1444.26,10.34,0.001299017,0.001508296,0.023171286,0.016592751,0.007156474,-0.003686573,-0.005574136,-0.002582873,-0.029107981
positive,204.9163,831.25,2.3134,668.6,0.512647,0.760846,4.435,1459.68,10.24,0.001297332,0.001506024,0.027264654,0.005791651,-0.000637459,-0.011137033,-0.005605381,0.010676748,-0.00967118
negative,205.1818,832.5,2.4074,684.5,0.510392,0.759247,4.41,1399.04,18.31,0.001295651,0.001503759,0.040632835,0.023781035,-0.004398738,-0.002101608,-0.005636979,-0.041543352,0.788085937
neutral,205.3903488,833.627907,2.5158,644.6,0.516917,0.760162,4.4,1395.41,15.96,0.00101641,0.001354843,0.045027831,-0.058290723,0.012784291,0.001205141,-0.002267574,-0.002594636,-0.128345167
negative,205.5609302,834.6744186,2.5626,650.5,0.517195,0.761322,4.4,1377.95,18.13,0.000830523,0.00125537,0.018602433,0.009152963,0.000537804,0.001525991,0,-0.012512452,0.135964912
positive,205.7315116,835.7209302,2.5836,654.4,0.514735,0.751404,4.4,1410.94,13.27,0.000829834,0.001253796,0.008194802,0.005995388,-0.004756426,-0.013027339,0,0.023941362,-0.268063982
positive,205.902093,836.7674419,2.6294,665.15,0.509653,0.75268,4.4,1428.61,13.48,0.000829146,0.001252226,0.017727202,0.016427262,-0.009873041,0.001698154,0,0.012523566,0.01582517
neutral,206.0726744,837.8139535,2.726,663.5,0.507428,0.748613,4.4,1437.77,13.46,0.000828459,0.00125066,0.036738419,-0.002480643,-0.004365715,-0.005403359,0,0.006411827,-0.00148368
neutral,206.2432558,838.8604651,2.8168,676.85,0.509105,0.747918,4.4,1448.39,12.68,0.000827773,0.001249098,0.033308877,0.020120573,0.003304902,-0.000928384,0,0.007386439,-0.05794948
positive,206.4138372,839.9069767,2.8746,688,0.503033,0.738298,4.4,1471.48,12.14,0.000827088,0.00124754,0.020519739,0.016473369,-0.011926813,-0.012862373,0,0.015941839,-0.042586751
neutral,206.5844186,840.9534884,2.8894,689.7,0.499563,0.736179,4.4,1480.41,13.12,0.000826405,0.001245985,0.005148542,0.00247093,-0.006898156,-0.002870115,0,0.00606872,0.080724876
neutral,206.755,842,2.9876,677.5,0.500908,0.733177,4.4,1486.3,13.51,0.000825722,0.001244435,0.033986295,-0.01768885,0.002692353,-0.004077813,0,0.003978628,0.02972561
positive,206.8591304,831.3478261,3.0638,685.9,0.501504,0.735259,4.443478261,1507.72,13.21,0.000503642,-0.012651038,0.025505422,0.012398524,0.001189839,0.002839696,0.009881423,0.014411626,-0.022205774
neutral,206.9632609,820.6956522,3.126,667,0.504637,0.738799,4.486956522,1501.19,14.01,0.000503388,-0.012813137,0.020301586,-0.027555037,0.006247208,0.00481463,0.009784736,-0.004331043,0.060560182
positive,207.0673913,810.0434783,3.2162,663.5,0.506833,0.740935,4.530434783,1524.12,13.02,0.000503135,-0.012979445,0.028854766,-0.005247376,0.004351643,0.002891179,0.009689922,0.015274549,-0.070663812
neutral,207.1715217,799.3913043,3.1986,657.6,0.504165,0.743547,4.573913043,1518.11,13.53,0.000502882,-0.013150126,-0.005472296,-0.008892238,-0.005264061,0.003525275,0.009596929,-0.003943259,0.039170507
neutral,207.2541395,788.627907,3.1408,671.3,0.503852,0.743099,4.6,1530.95,13.63,0.000398789,-0.013464491,-0.018070406,0.020833333,-0.000620828,-0.000602517,0.005703422,0.008457885,0.007390983
negative,207.3044884,777.6976744,3.0626,652.8,0.508052,0.748504,4.6,1493,16.67,0.000242933,-0.01385981,-0.024898115,-0.027558469,0.008335781,0.007273593,0,-0.02478853,0.223037417
positive,207.3548372,766.7674419,3.0036,655.1,0.505247,0.746478,4.6,1533.7,12.85,0.000242874,-0.014054604,-0.019264677,0.003523284,-0.005521088,-0.002706732,0,0.027260549,-0.229154169
negative,207.405186,755.8372093,2.9774,649.55,0.500263,0.742741,4.6,1492.89,18.89,0.000242815,-0.014254951,-0.008722866,-0.008471989,-0.009864482,-0.005006176,0,-0.026608854,0.470038911
positive,207.4555349,744.9069767,2.9634,657.25,0.497533,0.737524,4.6,1524.87,15.29,0.000242756,-0.014461094,-0.004702089,0.011854361,-0.00545713,-0.007023983,0,0.021421538,-0.190577025
neutral,207.5058837,733.9767442,2.9946,661.15,0.496993,0.733923,4.6,1510.12,17.57,0.000242697,-0.014673285,0.010528447,0.005933815,-0.001085355,-0.004882553,0,-0.009672956,0.14911707
positive,207.5562326,723.0465116,3.0308,663.15,0.491349,0.725818,4.6,1549.37,15.63,0.000242638,-0.014891797,0.012088426,0.003025032,-0.011356297,-0.011043393,0,0.025991312,-0.110415481
negative,207.6065814,712.1162791,2.9416,682.75,0.486174,0.723328,4.6,1511.04,18.55,0.000242579,-0.015116915,-0.029431173,0.029555907,-0.010532229,-0.003430612,0,-0.024739088,0.186820218
negative,207.6569302,701.1860465,2.8684,666.75,0.494063,0.732704,4.6,1455.27,23.52,0.00024252,-0.015348944,-0.024884417,-0.023434639,0.016226701,0.012962308,0,-0.036908355,0.267924528
positive,207.8086744,701.6046512,2.8246,669.25,0.49066,0.72486,4.609302326,1476.71,21.56,0.000730745,0.000596995,-0.015269837,0.003749531,-0.006887786,-0.010705551,0.002022245,0.014732661,-0.083333333
negative,207.9857674,704.8604651,2.7738,667.35,0.495142,0.731203,4.620930233,1426.54,27.68,0.000852193,0.004640525,-0.017984847,-0.002838999,0.009134635,0.008750655,0.002522704,-0.033974172,0.283858998
positive,208.1628605,708.1162791,2.7778,655.5,0.504411,0.741686,4.63255814,1447.12,25.25,0.000851467,0.00461909,0.001442065,-0.017756799,0.018719882,0.014336648,0.002516356,0.014426515,-0.087789017
negative,208.3399535,711.372093,2.7584,667,0.496307,0.731672,4.644186047,1432.36,26.3,0.000850743,0.004597852,-0.006983944,0.01754386,-0.016066263,-0.013501671,0.00251004,-0.010199569,0.041584158
positive,208.5170465,714.627907,2.8004,673.5,0.495739,0.733638,4.655813953,1489.42,22.78,0.00085002,0.004576809,0.015226218,0.009745127,-0.001144453,0.002686996,0.002503756,0.039836354,-0.133840304
negative,208.6941395,717.8837209,2.8118,704.25,0.492937,0.725674,4.66744186,1471.49,25.27,0.000849298,0.004555957,0.004070847,0.045657016,-0.005652168,-0.01085549,0.002497502,-0.012038243,0.109306409
positive,208.8712326,721.1395349,2.792,717.7,0.499088,0.720925,4.679069767,1519.78,20.35,0.000848577,0.004535294,-0.007041753,0.019098332,0.012478268,-0.006544261,0.002491281,0.032817077,-0.194697269
neutral,209.0483256,724.3953488,2.8072,727.7,0.494483,0.70946,4.690697674,1517.21,18.6,0.000847857,0.004514818,0.005444126,0.013933398,-0.00922683,-0.01590318,0.002485089,-0.001691034,-0.085995086
positive,209.2614783,723.2608696,2.7844,735.75,0.488935,0.701516,4.7,1546.63,18.49,0.001019634,-0.001566105,-0.008121972,0.011062251,-0.011219799,-0.011197249,0.001983143,0.019390856,-0.005913978
