species,cpi,house sales,gas price,gold price,usd to pound,usd to euro,unemployment,s and p 500,volatility,cpi pdiff,house sales pdiff,gas price pdiff,gold price pdiff,usd to pound pdiff,usd to euro pdiff,unemployment pdiff,s and p 500 pdiff,volatility pdiff
negative,167.9227273,844.8181818,1.2536,256.7,0.621785,0.964873,4.159090909,1336.29,23.77,0.000406196,0.012529963,0.008041171,0.007061593,-0.002201692,0.020489688,-0.005434783,-0.010485394,0.014078498
negative,167.9909091,855.2727273,1.2668,255.2,0.615034,0.959907,4.136363636,1307.58,25.65,0.000406031,0.012374906,0.010529675,-0.005843397,-0.010857451,-0.005146791,-0.005464481,-0.021484857,0.079091292
negative,168.0590909,865.7272727,1.2606,288.25,0.60713,0.955362,4.113636364,1282.2,26.06,0.000405866,0.012223639,-0.004894222,0.12950627,-0.012851322,-0.004734834,-0.005494505,-0.019409902,0.015984405
positive,168.1285714,871.1428571,1.2538,326.25,0.604444,0.934479,4.1,1301.35,24.79,0.000413429,0.006255532,-0.005394257,0.131830009,-0.004424094,-0.02185873,-0.003314917,0.014935268,-0.048733691
neutral,168.2,869,1.2464,323.5,0.604775,0.938612,4.1,1313.04,22.84,0.000424845,-0.002459823,-0.005902058,-0.008429119,0.000547611,0.004422785,0,0.008982979,-0.07866075
negative,168.2714286,866.8571429,1.2362,309,0.598787,0.92272,4.1,1261.32,26.56,0.000424665,-0.002465889,-0.008183569,-0.044822257,-0.009901203,-0.016931384,0,-0.039389508,0.162872154
positive,168.3428571,864.7142857,1.2356,297.95,0.602823,0.938916,4.1,1281.91,24.26,0.000424484,-0.002471984,-0.000485358,-0.035760518,0.006740293,0.017552454,0,0.016324168,-0.086596386
positive,168.4181818,863.4545455,1.2306,292.05,0.608459,0.949836,4.095454545,1347.74,23.1,0.000447448,-0.001456828,-0.004046617,-0.01980198,0.009349345,0.011630433,-0.001108647,0.051353059,-0.047815334
positive,168.5090909,865.7272727,1.2366,291.25,0.616662,0.961091,4.072727273,1365.28,22.7,0.000539782,0.002632133,0.00487567,-0.002739257,0.013481599,0.011849414,-0.00554939,0.01301438,-0.017316017
positive,168.6,868,1.2546,292,0.617112,0.968178,4.05,1420.07,20.73,0.000539491,0.002625223,0.014556041,0.002575107,0.000729735,0.007373912,-0.005580357,0.040130962,-0.086784141
negative,168.6909091,870.2727273,1.27,296.7,0.616314,0.969775,4.027272727,1404.64,21,0.0005392,0.002618349,0.012274829,0.01609589,-0.00129312,0.00164949,-0.005611672,-0.010865662,0.013024602
negative,168.7818182,872.5454545,1.2738,292,0.624741,0.990425,4.004545455,1388.91,24.18,0.000538909,0.002611512,0.002992126,-0.015840917,0.013673225,0.021293599,-0.005643341,-0.011198599,0.151428571
positive,168.9090909,871.4545455,1.2734,280,0.617895,0.980448,4.009090909,1409.17,21.09,0.000754067,-0.00125026,-0.000314021,-0.04109589,-0.010958141,-0.010073453,0.001135074,0.014586978,-0.127791563
neutral,169.0454545,869.5227273,1.2738,280.3,0.617927,0.991331,4.020454545,1403.17,23.06,0.00080732,-0.002216774,0.00031412,0.001071429,5.18E-05,0.011100028,0.002834467,-0.004257826,0.093409199
positive,169.1818182,867.5909091,1.2698,284.6,0.621645,0.990912,4.031818182,1433.43,22.66,0.000806668,-0.002221699,-0.00314021,0.015340706,0.006016892,-0.000422664,0.002826456,0.021565455,-0.017346054
positive,169.3181818,865.6590909,1.2728,289.7,0.618784,0.987012,4.043181818,1457.66,22.97,0.000806018,-0.002226646,0.002362577,0.017919888,-0.004602305,-0.003935768,0.002818489,0.016903511,0.013680494
negative,169.4545455,863.7272727,1.2704,282.05,0.613683,0.982722,4.054545455,1399.42,27.01,0.000805369,-0.002231615,-0.001885607,-0.026406628,-0.008243587,-0.004346452,0.002810568,-0.039954448,0.175881585
positive,169.5909091,861.7954545,1.2666,281.7,0.610634,0.973829,4.065909091,1438.56,22.5,0.000804721,-0.002236607,-0.002991184,-0.001240915,-0.004968363,-0.009049355,0.002802691,0.02796873,-0.166975194
positive,169.7272727,859.8636364,1.2846,286.85,0.612161,0.987705,4.077272727,1455.14,21.5,0.000804074,-0.00224162,0.014211274,0.01828186,0.00250068,0.014248908,0.002794857,0.011525414,-0.044444444
negative,169.8636364,857.9318182,1.3152,288.7,0.605799,0.992582,4.088636364,1410.03,23.02,0.000803428,-0.002246656,0.023820645,0.006449364,-0.010392691,0.004937709,0.002787068,-0.031000454,0.070697674
neutral,170,856,1.3178,283.65,0.618464,1.02788,4.1,1409.28,23.45,0.000802783,-0.002251715,0.001976886,-0.017492206,0.020906274,0.035561797,0.002779322,-0.000531904,0.018679409
positive,170.2380952,866.4761905,1.3312,303.15,0.626954,1.01864,4.076190476,1441.72,21.25,0.00140056,0.01223854,0.010168463,0.068746695,0.013727557,-0.008989376,-0.005807201,0.023018847,-0.093816631
negative,170.4761905,876.952381,1.366,307,0.629154,1.01806,4.052380952,1402.05,22.92,0.001398601,0.012090569,0.026141827,0.012699984,0.003509029,-0.000569387,-0.005841121,-0.027515745,0.078588235
negative,170.7142857,887.4285714,1.409,305.4,0.624626,1.01374,4.028571429,1352.17,25.86,0.001396648,0.011946134,0.03147877,-0.005211726,-0.007196966,-0.004243365,-0.005875441,-0.035576477,0.128272251
positive,170.952381,897.9047619,1.437,294,0.627008,1.02785,4.004761905,1366.42,23.37,0.0013947,0.011805108,0.01987225,-0.037328094,0.003813482,0.013918756,-0.005910165,0.010538616,-0.096287703
neutral,171.0186047,896,1.5062,288.35,0.634819,1.04299,4,1355.62,24.31,0.000387381,-0.002121341,0.04815588,-0.019217687,0.012457576,0.014729776,-0.001189061,-0.007903866,0.040222507
neutral,171.0418605,891,1.5274,290.3,0.633356,1.0377,4,1359.15,24.41,0.000135984,-0.005580357,0.014075156,0.006762615,-0.002304594,-0.005071957,0,0.002603975,0.004113534
positive,171.0651163,886,1.5248,286.15,0.636292,1.0277,4,1493.87,21.7,0.000135966,-0.005611672,-0.001702239,-0.014295556,0.004635624,-0.009636697,0,0.099120774,-0.111020074
neutral,171.0883721,881,1.507,280.3,0.629133,1.03102,4,1507.73,24.86,0.000135947,-0.005643341,-0.011673662,-0.020443823,-0.011251124,0.003230515,0,0.009277916,0.14562212
neutral,171.1116279,876,1.4974,276.75,0.626851,1.04489,4,1494.73,27.12,0.000135929,-0.005675369,-0.006370272,-0.012665002,-0.003627214,0.013452697,0,-0.008622233,0.090909091
neutral,171.1348837,871,1.4688,281.2,0.631938,1.04184,4,1500.59,27.25,0.00013591,-0.005707763,-0.019099773,0.016079494,0.008115166,-0.002918968,0,0.00392044,0.00479351
